iter	Passed	Remaining
433	1671	2179
434	1675	2175
435	1677	2170
436	1680	2164
437	1682	2159
438	1686	2154
439	1691	2152
440	1694	2147
441	1697	2142
442	1699	2137
443	1703	2132
444	1710	2132
445	1713	2128
446	1717	2124
447	1720	2119
448	1724	2116
449	1727	2111
450	1732	2108
451	1735	2104
452	1740	2101
453	1743	2096
454	1745	2090
455	1747	2084
456	1749	2079
457	1751	2072
458	1753	2067
459	1757	2062
460	1759	2057
461	1764	2054
462	1767	2049
463	1770	2044
464	1773	2039
465	1775	2034
466	1779	2031
467	1785	2029
468	1793	2030
469	1798	2028
470	1801	2023
471	1808	2022
472	1813	2020
473	1816	2016
474	1822	2014
475	1826	2010
476	1830	2007
477	1834	2003
478	1839	2000
479	1844	1998
480	1849	1995
481	1852	1990
482	1854	1984
483	1856	1979
484	1859	1974
485	1862	1969
486	1865	1964
487	1868	1960
488	1871	1955
489	1873	1949
490	1875	1944
491	1877	1938
492	1879	1933
493	1881	1927
494	1885	1923
495	1888	1918
496	1891	1914
497	1894	1909
498	1896	1903
499	1898	1898
500	1900	1893
501	1902	1887
502	1904	1881
503	1907	1876
504	1910	1872
505	1914	1868
506	1917	1864
507	1919	1859
508	1922	1854
509	1924	1848
510	1926	1843
511	1929	1839
512	1934	1836
513	1936	1831
514	1941	1828
515	1944	1824
516	1947	1819
517	1949	1813
518	1951	1808
519	1953	1803
520	1956	1799
521	1959	1794
522	1963	1790
523	1966	1786
524	1968	1780
525	1970	1775
526	1972	1770
527	1974	1765
528	1976	1759
529	1978	1754
530	1982	1750
531	1984	1745
532	1987	1741
533	1990	1736
534	1992	1731
535	1994	1726
536	1996	1721
537	1998	1716
538	2000	1710
539	2002	1705
540	2006	1701
541	2008	1697
542	2011	1692
543	2013	1688
544	2015	1683
545	2017	1677
546	2020	1673
547	2022	1668
548	2024	1662
549	2026	1657
550	2028	1652
551	2031	1648
552	2035	1645
553	2037	1640
554	2039	1635
555	2041	1630
556	2043	1625
557	2046	1620
558	2048	1615
559	2049	1610
560	2053	1606
561	2055	1602
562	2058	1598
563	2061	1593
564	2063	1588
565	2065	1584
566	2068	1579
567	2070	1574
568	2073	1570
569	2077	1567
570	2079	1562
571	2083	1559
572	2086	1554
573	2088	1549
574	2090	1544
575	2092	1540
576	2094	1535
577	2096	1530
578	2098	1525
579	2101	1521
580	2104	1517
581	2107	1513
582	2109	1508
583	2111	1504
584	2113	1499
585	2116	1495
586	2118	1490
587	2120	1485
588	2122	1481
589	2125	1477
590	2128	1472
591	2132	1469
592	2134	1465
593	2136	1460
594	2138	1455
595	2140	1451
596	2142	1446
597	2144	1441
598	2146	1437
599	2150	1433
600	2152	1429
601	2155	1425
602	2158	1420
603	2160	1416
604	2162	1411
605	2163	1406
606	2165	1402
607	2167	1397
608	2169	1393
609	2173	1389
610	2175	1385
611	2179	1381
612	2182	1377
613	2184	1373
614	2186	1369
615	2188	1364
616	2190	1359
617	2192	1355
618	2194	1350
619	2197	1347
620	2200	1342
621	2203	1338
622	2205	1334
623	2208	1330
624	2210	1326
625	2212	1321
626	2214	1317
627	2216	1312
628	2219	1309
629	2223	1305
630	2227	1302
631	2231	1299
632	2234	1295
633	2237	1291
634	2241	1288
635	2246	1285
636	2249	1281
637	2254	1279
638	2258	1276
639	2262	1272
640	2265	1268
641	2267	1264
642	2271	1261
643	2275	1258
644	2280	1255
645	2284	1251
646	2286	1247
647	2292	1245
648	2296	1241
649	2301	1239
650	2304	1235
651	2306	1231
652	2310	1227
653	2316	1225
654	2322	1223
655	2327	1220
656	2332	1217
657	2337	1214
658	2343	1212
659	2347	1209
660	2350	1205
661	2353	1201
662	2355	1197
663	2358	1193
664	2364	1191
665	2371	1189
666	2374	1185
667	2376	1181
668	2378	1176
669	2380	1172
670	2382	1168
671	2384	1163
672	2386	1159
673	2390	1156
674	2394	1153
675	2398	1149
676	2401	1145
677	2404	1141
678	2406	1137
679	2408	1133
680	2410	1129
681	2414	1125
682	2417	1121
683	2420	1118
684	2423	1114
685	2427	1111
686	2430	1107
687	2432	1102
688	2434	1098
689	2438	1095
690	2440	1091
691	2444	1087
692	2446	1083
693	2448	1079
694	2451	1075
695	2453	1071
696	2457	1068
697	2460	1064
698	2463	1060
699	2468	1057
700	2470	1053
701	2472	1049
702	2474	1045
703	2476	1041
704	2478	1037
705	2480	1032
706	2482	1029
707	2486	1025
708	2488	1021
709	2491	1017
710	2494	1013
711	2496	1009
712	2498	1005
713	2500	1001
714	2502	997
715	2504	993
716	2506	989
717	2510	986
718	2513	982
719	2516	978
720	2518	974
721	2520	970
722	2523	966
723	2525	962
724	2527	958
725	2529	954
726	2532	950
727	2535	947
728	2537	943
729	2540	939
730	2543	935
731	2546	932
732	2548	928
733	2550	924
734	2552	920
735	2554	916
736	2557	912
737	2560	908
738	2564	905
739	2567	902
740	2571	898
741	2573	894
742	2576	891
743	2579	887
744	2582	883
745	2584	879
746	2587	876
747	2590	872
748	2592	868
749	2594	864
750	2596	860
751	2598	856
752	2600	853
753	2603	849
754	2606	845
755	2608	842
756	2612	838
757	2614	834
758	2616	830
759	2618	826
760	2620	823
761	2622	819
762	2624	815
763	2627	811
764	2630	808
765	2632	804
766	2635	800
767	2638	796
768	2640	793
769	2642	789
770	2643	785
771	2645	781
772	2647	777
773	2649	773
774	2653	770
775	2656	766
776	2658	763
777	2661	759
778	2663	755
779	2665	751
780	2667	747
781	2669	744
782	2671	740
783	2673	736
784	2676	733
785	2679	729
786	2681	725
787	2684	722
788	2686	718
789	2689	714
790	2691	711
791	2693	707
792	2695	703
793	2697	699
794	2701	696
795	2704	693
796	2708	689
797	2710	686
798	2712	682
799	2714	678
800	2717	675
801	2719	671
802	2721	667
803	2727	664
804	2733	662
805	2738	659
806	2741	655
807	2747	652
808	2751	649
809	2757	646
810	2760	643
811	2765	640
812	2768	636
813	2772	633
814	2777	630
815	2781	627
816	2784	623
817	2789	620
818	2794	617
819	2800	614
820	2806	611
821	2812	609
822	2817	605
823	2823	603
824	2828	599
825	2832	596
826	2837	593
827	2842	590
828	2849	587
829	2853	584
830	2859	581
831	2865	578
832	2873	576
833	2879	573
834	2884	570
835	2891	567
836	2896	564
837	2902	561
838	2907	557
839	2912	554
840	2918	551
841	2921	548
842	2924	544
843	2927	541
844	2930	537
845	2935	534
846	2943	531
847	2947	528
848	2951	524
849	2955	521
850	2961	518
851	2967	515
852	2971	512
853	2974	508
854	2976	504
855	2981	501
856	2987	498
857	2992	495
858	2995	491
859	2998	488
860	3001	484
861	3005	481
862	3010	477
863	3014	474
864	3019	471
865	3021	467
866	3023	463
867	3026	460
868	3030	456
869	3035	453
870	3039	450
871	3042	446
872	3046	443
873	3048	439
874	3052	436
875	3056	432
876	3061	429
877	3064	425
878	3068	422
879	3070	418
880	3072	415
881	3075	411
882	3079	407
883	3081	404
884	3084	400
885	3086	397
886	3088	393
887	3093	390
888	3096	386
889	3099	383
890	3102	379
891	3104	375
892	3106	372
893	3110	368
894	3112	365
895	3116	361
896	3118	358
897	3120	354
898	3122	350
899	3125	347
900	3128	343
901	3131	340
902	3134	336
903	3136	333
904	3139	329
905	3142	326
906	3144	322
907	3147	318
908	3150	315
909	3152	311
910	3154	308
911	3157	304
912	3160	301
913	3163	297
914	3165	294
915	3167	290
916	3169	286
917	3172	283
918	3176	279
919	3180	276
920	3182	273
921	3185	269
922	3189	266
923	3192	262
924	3196	259
925	3199	255
926	3201	252
927	3205	248
928	3208	245
929	3211	241
930	3213	238
931	3216	234
932	3218	231
933	3221	227
934	3224	224
935	3227	220
936	3230	217
937	3232	213
938	3235	210
939	3238	206
940	3240	203
941	3244	199
942	3246	196
943	3248	192
944	3250	189
945	3253	185
946	3256	182
947	3260	178
948	3262	175
949	3264	171
950	3266	168
951	3270	164
952	3272	161
953	3276	157
954	3278	154
955	3280	150
956	3282	147
957	3285	144
958	3288	140
959	3292	137
960	3294	133
961	3296	130
962	3298	126
963	3302	123
964	3304	119
965	3308	116
966	3310	112
967	3312	109
968	3314	106
969	3317	102
970	3320	99
971	3323	95
972	3326	92
973	3328	88
974	3330	85
975	3334	81
976	3336	78
