iter	RMSE
320	2.657958123e-10
321	2.653864946e-10
322	2.650112532e-10
323	2.645006604e-10
324	2.641079804e-10
325	2.633879172e-10
326	2.629422037e-10
327	2.625131783e-10
328	2.621078461e-10
329	2.615319212e-10
330	2.608007173e-10
331	2.602609697e-10
332	2.598240446e-10
333	2.595018806e-10
334	2.588451905e-10
335	2.585056778e-10
336	2.579145086e-10
337	2.574714954e-10
338	2.571349702e-10
339	2.568501386e-10
340	2.56284957e-10
341	2.558899132e-10
342	2.554333843e-10
343	2.549423223e-10
344	2.543635683e-10
345	2.536285781e-10
346	2.532968431e-10
347	2.528439177e-10
348	2.523358359e-10
349	2.518851593e-10
350	2.515743014e-10
351	2.511941904e-10
352	2.508905727e-10
353	2.502093679e-10
354	2.49685207e-10
355	2.494133132e-10
356	2.488184762e-10
357	2.481145175e-10
358	2.478683174e-10
359	2.474190057e-10
360	2.470364344e-10
361	2.46716688e-10
362	2.46039388e-10
363	2.456525999e-10
364	2.453367182e-10
365	2.448091166e-10
366	2.445016824e-10
367	2.440286653e-10
368	2.438246142e-10
369	2.43508206e-10
370	2.432556012e-10
371	2.430141206e-10
372	2.425059888e-10
373	2.422179175e-10
374	2.411288601e-10
375	2.40609227e-10
376	2.402047545e-10
377	2.399710389e-10
378	2.396926107e-10
379	2.393258041e-10
380	2.390520017e-10
381	2.387565728e-10
382	2.383662974e-10
383	2.381466286e-10
384	2.378852016e-10
385	2.375032939e-10
386	2.371005699e-10
387	2.365193474e-10
388	2.360551935e-10
389	2.356657473e-10
390	2.351168068e-10
391	2.347692552e-10
392	2.344578994e-10
393	2.342528215e-10
394	2.338938026e-10
395	2.334790264e-10
396	2.331839405e-10
397	2.3289677e-10
398	2.326241863e-10
399	2.32364352e-10
400	2.320061765e-10
401	2.317173721e-10
402	2.311644672e-10
403	2.309502131e-10
404	2.306377234e-10
405	2.300993634e-10
406	2.298379541e-10
407	2.295769931e-10
408	2.294164507e-10
409	2.289748733e-10
410	2.287765936e-10
411	2.284474187e-10
412	2.282205637e-10
413	2.279798989e-10
414	2.272635988e-10
415	2.268194282e-10
416	2.266090492e-10
417	2.263397036e-10
418	2.258856874e-10
419	2.25016726e-10
420	2.245853695e-10
421	2.243949513e-10
422	2.240660262e-10
423	2.236432097e-10
424	2.230113243e-10
425	2.228362846e-10
426	2.225928595e-10
427	2.223610213e-10
428	2.221607313e-10
429	2.219589101e-10
430	2.217170555e-10
431	2.213884398e-10
432	2.211875936e-10
433	2.20976396e-10
434	2.207216914e-10
435	2.201936698e-10
436	2.200045678e-10
437	2.197793202e-10
438	2.194878317e-10
439	2.190329821e-10
440	2.18790553e-10
441	2.184668626e-10
442	2.181196597e-10
443	2.17908221e-10
444	2.177259317e-10
445	2.175043392e-10
446	2.173255399e-10
447	2.170299502e-10
448	2.167786296e-10
449	2.16539328e-10
450	2.161962465e-10
451	2.160313708e-10
452	2.157409571e-10
453	2.15339111e-10
454	2.150787614e-10
455	2.14842889e-10
456	2.144195531e-10
457	2.138477927e-10
458	2.136898477e-10
459	2.133303084e-10
460	2.131908117e-10
461	2.129172689e-10
462	2.12670484e-10
463	2.122140481e-10
464	2.12066251e-10
465	2.118233589e-10
466	2.115642989e-10
467	2.11242994e-10
468	2.109881444e-10
469	2.106545564e-10
470	2.105481232e-10
471	2.103597861e-10
472	2.099007175e-10
473	2.097438873e-10
474	2.095806262e-10
475	2.093934719e-10
476	2.091198228e-10
477	2.08935406e-10
478	2.084877845e-10
479	2.081825962e-10
480	2.080136988e-10
481	2.077684644e-10
482	2.076192842e-10
483	2.072572834e-10
484	2.066632584e-10
485	2.06492133e-10
486	2.062175671e-10
487	2.059951558e-10
488	2.057036057e-10
489	2.053705667e-10
490	2.051327429e-10
491	2.048298123e-10
492	2.046668209e-10
493	2.04398725e-10
494	2.041585043e-10
495	2.039195587e-10
496	2.037606364e-10
497	2.036234741e-10
498	2.034313095e-10
499	2.032330712e-10
500	2.03002776e-10
501	2.028467056e-10
502	2.026353566e-10
503	2.02160041e-10
504	2.020120377e-10
505	2.018171375e-10
506	2.016543795e-10
507	2.013690282e-10
508	2.009918364e-10
509	2.007341957e-10
510	2.004577188e-10
511	2.002486911e-10
512	2.001427011e-10
513	1.99882059e-10
514	1.995345472e-10
515	1.993667772e-10
516	1.991805518e-10
517	1.990107358e-10
518	1.987650244e-10
519	1.982967312e-10
520	1.981324339e-10
521	1.979886323e-10
522	1.977642112e-10
523	1.974870223e-10
524	1.971780149e-10
525	1.97017632e-10
526	1.967745201e-10
527	1.96557336e-10
528	1.964321284e-10
529	1.962628828e-10
530	1.960460852e-10
531	1.95873632e-10
532	1.95716696e-10
533	1.955311358e-10
534	1.953736713e-10
535	1.951090936e-10
536	1.94889444e-10
537	1.94776992e-10
538	1.94447031e-10
539	1.938332972e-10
540	1.936637452e-10
541	1.934816338e-10
542	1.932807937e-10
543	1.929529318e-10
544	1.928512475e-10
545	1.926319764e-10
546	1.924514045e-10
547	1.923328018e-10
548	1.921996058e-10
549	1.920339675e-10
550	1.916437975e-10
551	1.914749091e-10
552	1.912897821e-10
553	1.910192135e-10
554	1.907558218e-10
555	1.906073373e-10
556	1.904902177e-10
557	1.903180512e-10
558	1.901808574e-10
559	1.898746328e-10
560	1.898004012e-10
561	1.896625061e-10
562	1.894468427e-10
563	1.88924591e-10
564	1.887242184e-10
565	1.885610137e-10
566	1.882432292e-10
567	1.880808903e-10
568	1.879126496e-10
569	1.878039676e-10
570	1.876679663e-10
571	1.874833055e-10
572	1.872898537e-10
573	1.868968776e-10
574	1.867494155e-10
575	1.865191414e-10
576	1.862739618e-10
577	1.860337629e-10
578	1.858100428e-10
579	1.857132379e-10
580	1.854991801e-10
581	1.853454737e-10
582	1.852155261e-10
583	1.850611864e-10
584	1.847959776e-10
585	1.844953046e-10
586	1.843253257e-10
587	1.841468945e-10
588	1.839440549e-10
589	1.83724292e-10
590	1.835382865e-10
591	1.832852723e-10
592	1.831572652e-10
593	1.829565255e-10
594	1.828458573e-10
595	1.827359129e-10
596	1.82542276e-10
597	1.823158702e-10
598	1.82102054e-10
599	1.818662999e-10
600	1.817001582e-10
601	1.814882577e-10
602	1.812190883e-10
603	1.810804494e-10
604	1.808783591e-10
605	1.807140306e-10
606	1.804703956e-10
607	1.803653915e-10
608	1.801522716e-10
609	1.800092399e-10
610	1.797986262e-10
611	1.796365844e-10
612	1.794809213e-10
613	1.793054853e-10
614	1.790987752e-10
615	1.789475123e-10
616	1.787997494e-10
617	1.786863318e-10
618	1.785563914e-10
619	1.783810209e-10
620	1.783086016e-10
621	1.781850603e-10
622	1.778001466e-10
623	1.776654975e-10
624	1.774906127e-10
625	1.773320093e-10
626	1.772469194e-10
627	1.770185917e-10
628	1.768425189e-10
629	1.766992398e-10
630	1.766220875e-10
631	1.764652811e-10
632	1.76283662e-10
633	1.760960225e-10
634	1.759681019e-10
635	1.757774721e-10
636	1.754360359e-10
637	1.753331354e-10
638	1.751308585e-10
639	1.74951161e-10
640	1.748291904e-10
641	1.746620783e-10
642	1.745434819e-10
643	1.74289603e-10
644	1.741249755e-10
645	1.740138451e-10
646	1.739094568e-10
647	1.738391488e-10
648	1.737349425e-10
649	1.735683555e-10
650	1.734151861e-10
651	1.732663251e-10
652	1.731252211e-10
653	1.728945255e-10
654	1.727466536e-10
655	1.725447499e-10
656	1.724549659e-10
657	1.723022568e-10
658	1.721511993e-10
659	1.720086352e-10
660	1.718678445e-10
661	1.717504072e-10
662	1.716161912e-10
663	1.714951077e-10
664	1.713602625e-10
665	1.712558903e-10
666	1.711024014e-10
667	1.708673918e-10
668	1.707314636e-10
669	1.705430787e-10
670	1.704312467e-10
671	1.702905952e-10
672	1.70173266e-10
673	1.700706435e-10
674	1.699560425e-10
675	1.697710734e-10
676	1.696135248e-10
677	1.695008982e-10
678	1.692550298e-10
679	1.690246904e-10
680	1.68818814e-10
681	1.686744424e-10
682	1.685678129e-10
683	1.684356333e-10
684	1.683307784e-10
685	1.681584246e-10
686	1.680642593e-10
687	1.678885093e-10
688	1.676917601e-10
689	1.675985765e-10
690	1.675142749e-10
691	1.67304965e-10
692	1.671596068e-10
693	1.670471591e-10
694	1.669144223e-10
695	1.668387241e-10
696	1.667278245e-10
697	1.665483247e-10
698	1.662988551e-10
699	1.662056306e-10
700	1.660253576e-10
701	1.659163773e-10
702	1.657751842e-10
703	1.655943406e-10
704	1.654374774e-10
705	1.653126442e-10
706	1.651490128e-10
707	1.650276607e-10
708	1.648753959e-10
709	1.64768373e-10
710	1.642807958e-10
711	1.641517239e-10
712	1.639978879e-10
713	1.638759758e-10
714	1.637458385e-10
715	1.635904175e-10
716	1.635026928e-10
717	1.633751208e-10
718	1.632256249e-10
719	1.62944438e-10
720	1.628762698e-10
721	1.627951925e-10
722	1.626985751e-10
723	1.626011291e-10
724	1.624325784e-10
725	1.623457252e-10
726	1.619205546e-10
727	1.618652269e-10
728	1.617589992e-10
729	1.6160695e-10
730	1.614617391e-10
731	1.613279375e-10
732	1.612284401e-10
733	1.610286558e-10
734	1.608175409e-10
735	1.607373649e-10
736	1.605938599e-10
737	1.604415533e-10
738	1.60367992e-10
739	1.602393532e-10
740	1.601153185e-10
741	1.600042241e-10
742	1.599100537e-10
743	1.597086894e-10
744	1.596413312e-10
745	1.595187349e-10
746	1.593817464e-10
747	1.592829027e-10
748	1.591869303e-10
749	1.591103399e-10
750	1.590480393e-10
751	1.589002156e-10
752	1.587728448e-10
753	1.586740571e-10
754	1.585762376e-10
755	1.584944385e-10
756	1.583650701e-10
757	1.582919819e-10
758	1.579141086e-10
759	1.577710863e-10
760	1.576472603e-10
761	1.575781716e-10
762	1.574843759e-10
763	1.57350907e-10
764	1.571677037e-10
765	1.570961878e-10
766	1.569865483e-10
767	1.569212699e-10
768	1.568602225e-10
769	1.567152719e-10
770	1.565771696e-10
771	1.564848953e-10
772	1.563911065e-10
773	1.562523035e-10
774	1.561686808e-10
775	1.559985399e-10
776	1.558302352e-10
777	1.556677886e-10
778	1.555986754e-10
779	1.554727485e-10
780	1.553482962e-10
781	1.552539404e-10
782	1.551164564e-10
783	1.5498474e-10
784	1.548653007e-10
785	1.547908599e-10
786	1.546166913e-10
787	1.54529977e-10
788	1.543871862e-10
789	1.542831797e-10
790	1.541920665e-10
791	1.539550028e-10
792	1.537908033e-10
793	1.537176765e-10
794	1.536723033e-10
795	1.534941015e-10
796	1.533899471e-10
797	1.533151935e-10
798	1.532536428e-10
799	1.531504727e-10
800	1.530465193e-10
801	1.529771607e-10
802	1.52854821e-10
803	1.52754911e-10
804	1.526885443e-10
805	1.525719315e-10
806	1.525095271e-10
807	1.523954808e-10
808	1.522924704e-10
809	1.521642531e-10
810	1.520895039e-10
811	1.518834739e-10
812	1.517955278e-10
813	1.516918864e-10
814	1.516197067e-10
815	1.515579427e-10
816	1.514401174e-10
817	1.51243054e-10
818	1.511567815e-10
819	1.510405924e-10
820	1.50911655e-10
821	1.5079278e-10
822	1.507192619e-10
823	1.5065906e-10
824	1.506053176e-10
825	1.505266581e-10
826	1.504686271e-10
827	1.501951662e-10
828	1.500833581e-10
829	1.499294501e-10
830	1.497958393e-10
831	1.49667287e-10
832	1.495959718e-10
833	1.494841123e-10
834	1.494075754e-10
835	1.493105588e-10
836	1.492715525e-10
837	1.492117812e-10
838	1.491168106e-10
839	1.489630147e-10
840	1.488567051e-10
841	1.488056401e-10
842	1.487421105e-10
843	1.486884985e-10
844	1.485971252e-10
845	1.48462436e-10
846	1.483692193e-10
847	1.482958167e-10
848	1.481961395e-10
849	1.481157627e-10
850	1.480577366e-10
851	1.479339838e-10
852	1.478395263e-10
853	1.477527924e-10
854	1.476357957e-10
855	1.475289621e-10
856	1.474680838e-10
857	1.473540352e-10
858	1.472640682e-10
859	1.471960365e-10
860	1.470561612e-10
861	1.469876021e-10
862	1.469425423e-10
863	1.468430324e-10
864	1.467757714e-10
865	1.467088163e-10
866	1.46628311e-10
867	1.4656538e-10
868	1.465048626e-10
869	1.464142013e-10
870	1.462784409e-10
871	1.46189854e-10
872	1.461220163e-10
873	1.460489208e-10
874	1.459915078e-10
875	1.458945489e-10
876	1.45784662e-10
877	1.457132277e-10
878	1.45614921e-10
879	1.455106109e-10
880	1.454343662e-10
881	1.452600944e-10
882	1.451517698e-10
883	1.450729472e-10
884	1.449980613e-10
885	1.449112998e-10
886	1.448415661e-10
887	1.447924905e-10
888	1.446302935e-10
889	1.445623206e-10
890	1.44501871e-10
891	1.444166602e-10
892	1.443360478e-10
893	1.442669074e-10
894	1.442048667e-10
895	1.44137111e-10
896	1.440921691e-10
897	1.439970426e-10
898	1.439059439e-10
899	1.438497635e-10
900	1.437322234e-10
901	1.435865833e-10
902	1.434961452e-10
903	1.434537719e-10
904	1.433781561e-10
905	1.431288524e-10
906	1.430823061e-10
907	1.430116269e-10
908	1.429456017e-10
909	1.428919184e-10
910	1.428177673e-10
911	1.427177257e-10
912	1.426347206e-10
913	1.425284501e-10
914	1.424716587e-10
915	1.423952487e-10
916	1.423119313e-10
917	1.422432507e-10
918	1.421844628e-10
919	1.420705163e-10
920	1.419859817e-10
921	1.418302462e-10
922	1.41712006e-10
923	1.416261736e-10
924	1.415375904e-10
925	1.414528074e-10
926	1.413610461e-10
927	1.413020161e-10
928	1.412217549e-10
929	1.411142851e-10
930	1.410117061e-10
931	1.409212217e-10
932	1.407677362e-10
933	1.406233995e-10
934	1.405462324e-10
935	1.404806448e-10
936	1.404040328e-10
937	1.403567321e-10
938	1.402195081e-10
939	1.401756746e-10
940	1.400999066e-10
941	1.400441643e-10
942	1.399805896e-10
943	1.398983637e-10
944	1.398638312e-10
945	1.3972751e-10
946	1.396816017e-10
947	1.395785376e-10
948	1.394597917e-10
949	1.393913456e-10
950	1.39322824e-10
951	1.392165855e-10
952	1.391353225e-10
953	1.390819843e-10
954	1.389885351e-10
955	1.389244318e-10
956	1.388568454e-10
957	1.387885778e-10
958	1.387163658e-10
959	1.385966617e-10
960	1.384043909e-10
961	1.382777409e-10
962	1.382070273e-10
963	1.380812989e-10
964	1.379990966e-10
965	1.378654865e-10
966	1.378017015e-10
967	1.377010678e-10
968	1.376445101e-10
969	1.375731693e-10
970	1.374809505e-10
971	1.374201005e-10
972	1.373295907e-10
973	1.372438436e-10
974	1.371867813e-10
975	1.371042654e-10
976	1.370485698e-10
977	1.369985415e-10
978	1.369473451e-10
979	1.368816109e-10
980	1.368003091e-10
981	1.367423817e-10
982	1.366748356e-10
983	1.36595684e-10
984	1.364840133e-10
985	1.364175487e-10
986	1.36334549e-10
987	1.362788947e-10
988	1.361568776e-10
989	1.360890919e-10
990	1.360288002e-10
991	1.359868593e-10
992	1.359439724e-10
993	1.358794617e-10
994	1.358264201e-10
995	1.357385108e-10
996	1.356662108e-10
997	1.355758022e-10
998	1.355202408e-10
999	1.354143894e-10
